439023483,Suzanne Collins,2008.0,The Hunger Games,4.34
439554934,J.K. Rowling Mary GrandPré,1997.0,Harry Potter and the Philosopher's Stone,5
316015849,Stephenie Meyer,2005.0,Twilight,3.57
61120081,Harper Lee,1960.0,To Kill a Mockingbird,4.25
743273567,F. Scott Fitzgerald,1925.0,The Great Gatsby,3.89
525478817,John Green,2012.0,The Fault in Our Stars,4.26
618260307,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,4.25
316769177,J.D. Salinger,1951.0,The Catcher in the Rye,3.79
1416524797,Dan Brown,2000.0,Angels & Demons ,3.85
679783261,Jane Austen,1813.0,Pride and Prejudice,5
